鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南區,房地(土地+建物)+車位,工學路155巷1~30號,17.13,都市：其他:第三種住宅區。,,,1091213,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020327,158.81,3,2,2,有,有,11400000,77549,坡道平面,28.57,1300000,,RPRNMLNKKIPFFAB77DA,75.24,13.34,0.0,有,0001
西區,房地(土地+建物),柳川東路二段91~120號,17.53,都市：其他:第二種住宅區,,,1091226,土地3建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870702,175.65,4,2,2,有,有,7800000,44406,,0.0,0,,RPRNMLQLKIPFFAB18DA,113.18,14.98,0.0,有,
東區,房地(土地+建物)+車位,十甲路421~450號,12.16,都市：其他:第二種住宅區,,,1091225,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830714,100.71000000000001,3,2,2,有,有,6100000,60570,坡道機械,0.0,0,,RPVRMLSLKIPFFAB56DA,73.61,10.06,0.0,有,0002
西區,房地(土地+建物)+車位,公益路331~360號,41.91,都市：其他:第二種商業區,,,1091229,土地1建物1車位3,十六層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010102,400.65999999999997,4,2,3,有,有,37500000,95106,坡道平面,69.45,6000000,,RPSPMLTLKIPFFAB78DA,199.25,30.32,0.0,有,
南區,房地(土地+建物),工學北路181~210號,13.18,都市：其他:第三種住宅區。,,,1091226,土地4建物1車位0,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840123,115.47999999999999,3,2,2,有,有,7500000,64946,,0.0,0,,RPXOMLSJJHGGFAB87DA,84.15,6.87,0.0,有,0003
東區,土地,復興段四小段1~30地號,389.0,都市：其他:第二種商業區,,,1080912,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,51540555,132495,,0.0,0,,RPTPMLLKJHGGFAB96DA,0.0,0.0,0.0,無,
東區,土地,復興段四小段1~30地號,2308.0,都市：其他:第一種商業區,,,1080912,土地14建物0車位0,,,其他,,,,0.0,0,0,0,有,無,305798015,132495,,0.0,0,,RPUPMLLKJHGGFAB07DA,0.0,0.0,0.0,無,
南區,土地,樹子腳段1~30地號,10.0,,,,1091222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,80000,,0.0,0,包含公共設施保留地用地;,RPSOMLPKJHGGFAB17DA,0.0,0.0,0.0,無,
南區,房地(土地+建物),工學北路61~90號,1.83,都市：其他:第三種商業區,,,1091219,土地1建物1車位0,九層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850506,30.47,1,0,1,有,有,1680000,55136,,0.0,0,,RPSNMLKLJHGGFAB66DA,16.58,3.46,0.0,有,
西區,房地(土地+建物),精誠十一街1~30號,19.69,都市：其他:第二種住宅區,,,1100117,土地1建物1車位0,一層，二層,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0861114,110.39999999999999,2,2,1,有,有,11580000,104891,,0.0,0,,RPPQMLKLJHGGFAB66DA,86.36,6.88,0.0,有,0004
南區,房地(土地+建物),復興路三段361~390號,3.3,都市：其他:第二種住宅區,,,1100120,土地2建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781129,42.57000000000001,1,0,1,有,有,880000,20672,,0.0,0,,RPQQMLKLJHGGFAB76DA,19.61,13.16,0.0,有,
南區,房地(土地+建物),學府路168巷1~30號,3.88,都市：其他:第一種商業區,,,1091227,土地3建物1車位0,十層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860428,43.01,1,0,1,有,有,2080000,48361,,0.0,0,,RPWOMLQLJHGGFAB77DA,23.91,3.68,0.0,有,
中區,房地(土地+建物),民權路151~180號,1.93,都市：其他:第一種商業區,,,1100116,土地2建物1車位0,二十一層,二十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0860131,37.55,1,1,1,有,有,2000000,53262,,0.0,0,含仲介費;,RPVPMLRLJHGGFAB87DA,21.44,2.94,0.0,有,0005
西區,房地(土地+建物),金山路31~60號,28.77,都市：其他:第二種住宅區,,,1091214,土地1建物1車位0,一層，二層，騎樓，地下層,七層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0780503,173.32,3,2,2,有,無,10380000,59889,,0.0,0,其他增建;,RPPOMLSLJHGGFAB27DA,155.3,8.18,0.0,無,
東區,房地(土地+建物),進化路84巷1~30號,91.0,都市：其他:第二種住宅區,,,1091112,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0630626,98.74,5,3,4,有,無,9000000,91148,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;其他增建;未登記建物;,RPROMLSLJHGGFAB47DA,98.74,0.0,0.0,無,
西區,房地(土地+建物)+車位,向上路一段91~120號,32.75,都市：其他:第一種商業區,,,1091221,土地2建物1車位2,十二層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041102,258.77,4,2,2,有,有,23050000,89075,坡道平面,72.52,0,,RPUPMLPLJHGGFAB57DA,107.75,19.97,0.0,有,
南區,房地(土地+建物)+車位,高工路252巷1~30號,82.56,都市：其他:第二種住宅區,,,1091231,土地2建物1車位1,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0961030,205.66,4,3,3,有,有,19950000,97005,一樓平面,0.0,0,,RPOOMLQLJHGGFAB96DA,202.91,2.75,0.0,無,
