鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鼓山區,房地(土地+建物),美術北三路211~240號,8.21,都市：其他:特定第四種商業區,,,1091115,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951030,81.35,2,2,1,有,有,5500000,67609,,0.0,0,,RPPNMLPKJIPFFAE97DA,52.25,4.07,0.0,有,
鹽埕區,房地(土地+建物),五福四路241~270號,11.59,非都市： ; 非都市編定：,,,1091203,土地3建物2車位0,十層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0711210,86.43,3,2,2,有,有,3800000,43966,,0.0,0,,RPTOMLOKKIPFFAE48DA,86.43,0.0,0.0,有,
前金區,房地(土地+建物),中正四路151~180號,4.93,都市：其他:第五種商業區,,,1080719,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091019,86.53,0,0,0,無,有,7800000,90142,,0.0,0,,RPTPMLOLKIPFFAE68DA,45.17,9.95,0.0,有,
鼓山區,房地(土地+建物),美術東六街181~210號,16.03,都市：其他:第三種特定商業專用區,,,1100101,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941129,127.3,3,2,2,有,有,8000000,62844,,0.0,0,,RPPNMLLJJHGGFAE56DA,74.5,14.52,0.0,有,
前金區,房地(土地+建物)+車位,民生二路121~150號,13.81,都市：其他:第五種商業區,,,1100102,土地2建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0901016,197.32,3,2,2,有,有,13200000,66896,坡道平面,25.86,0,,RPUNMLPJJHGGFAE47DA,106.54,14.44,0.0,有,
前金區,房地(土地+建物),中正四路151~180號,5.32,都市：其他:第五種商業區,,,1070624,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091019,81.07,0,0,0,無,有,6500000,80178,,0.0,0,,RPWNMLQJJHGGFAE77DA,48.2,3.37,0.0,有,
前金區,房地(土地+建物),中正四路151~180號,5.32,都市：其他:第五種商業區,,,1080323,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091019,81.07,0,0,0,無,有,6420000,79191,,0.0,0,,RPUOMLKKJHGGFAE17DA,48.2,3.37,0.0,有,
鼓山區,房地(土地+建物),華欣路1~30號,34.0,都市：其他:第四種住宅區,,,1091203,土地3建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690405,87.01,3,2,2,有,無,6800000,78152,,0.0,0,未登記建物;,RPVNMLLKJHGGFAE27DA,87.01,0.0,0.0,無,
鼓山區,房地(土地+建物)+車位,美術東二路451~480號,22.78,都市：其他:特定第五種住宅區,,,1091210,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931208,162.11,3,2,2,有,有,8300000,51200,坡道平面,34.54,0,親友、員工、共有人或其他特殊關係間之交易;,RPXOMLRJJHGGFAE08DA,82.05,9.69,0.0,有,0001
鼓山區,房地(土地+建物),逢甲路91~120號,31.07,都市：其他:第五種住宅區,,,1100112,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690716,81.34,3,2,2,有,無,4400000,54094,,0.0,0,,RPTOMLOKJHGGFAE47DA,81.34,0.0,0.0,無,0002
前金區,房地(土地+建物),中正四路151~180號,5.32,都市：其他:第五種商業區,,,1080418,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1091019,81.07,0,0,0,無,有,6670000,82275,,0.0,0,,RPTOMLPKJHGGFAE57DA,48.2,3.37,0.0,有,
