鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
土城區,房地(土地+建物)+車位,中央路二段21巷121~150號,22.59,都市：其他:第二種商業區,,,1091125,土地1建物1車位2,二十七層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061213,188.25,2,2,1,有,有,19900000,137243,坡道平面,76.04,4500000,,RPVNMLRJKIPFFAF88DA,68.58,2.49,8.98,有,
板橋區,房地(土地+建物),民族路225巷31~60號,14.8,都市：其他:住宅區,,,1090529,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090616,98.34,2,2,1,有,有,16800000,170836,,0.0,0,,RPWNMLSJKIPFFAF09DA,55.69,5.71,3.32,有,
板橋區,房地(土地+建物),民族路225巷31~60號,14.38,都市：其他:住宅區,,,1090905,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090616,94.14,2,1,1,有,有,15530000,164967,,0.0,0,,RPOOMLSJKIPFFAF38DA,53.11,4.19,4.2,有,
土城區,房地(土地+建物)+車位,中央路二段21巷121~150號,28.35,都市：其他:第二種商業區,,,1091128,土地1建物1車位1,二十二層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061213,192.05,3,2,2,有,有,22250000,129196,坡道平面,38.02,2350000,,RPPNMLKKKIPFFAF67DA,94.43,6.26,9.0,有,
土城區,房地(土地+建物)+車位,中央路二段21巷121~150號,21.86,都市：其他:第二種商業區,,,1091128,土地1建物1車位1,十六層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061213,149.86,3,2,1,有,有,17500000,130772,坡道平面,32.48,2150000,,RPXSMLLKKIPFFAF09DA,72.42,2.36,8.66,有,
土城區,房地(土地+建物)+車位,中央路二段21巷121~150號,28.59,都市：其他:第二種商業區,,,1091207,土地1建物1車位1,十三層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061213,193.03,3,2,2,有,有,21700000,125476,坡道平面,38.02,2250000,,RPQRMLOKKIPFFAF58DA,95.21,6.26,9.0,有,
土城區,房地(土地+建物)+車位,日和街1~30號,37.03,都市：其他:商業區,,,1091208,土地1建物1車位1,十層,三十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081120,281.2,3,2,3,有,有,34500000,133295,坡道平面,39.63,2300000,,RPTPMLPKKIPFFAF78DA,133.87,8.37,16.05,有,
板橋區,房地(土地+建物),民族路225巷31~60號,11.06,都市：其他:住宅區,,,1090905,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090521,76.12,2,1,1,有,有,12570000,165134,,0.0,0,,RPTRMLLLKIPFFAF68DA,40.61,1.83,3.11,有,
板橋區,房地(土地+建物),四川路一段61~90號,3.4,都市：其他:商業區,,,1091229,土地1建物1車位0,十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030116,52.879999999999995,0,0,0,無,無,8490000,160552,,0.0,0,,RPUPMLKMKIPFFAF58DA,26.96,1.04,4.43,有,
土城區,房地(土地+建物)+車位,中央路一段241~270號,19.31,都市：其他:商業區,,,1091227,土地1建物1車位1,九層,三十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081120,163.39,1,0,0,有,有,16000000,111506,坡道平面,39.63,2200000,工程折讓十萬九千元,RPRRMLTLKIPFFAF66DA,67.86,7.55,5.66,有,
板橋區,房地(土地+建物)+車位,民族路225巷31~60號,20.68,都市：其他:住宅區,,,1090807,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090521,161.57999999999998,3,2,2,有,有,24400000,160592,升降機械,18.36,1400000,,RPWNMLOJJHGGFAF67DA,76.19,6.07,4.52,有,
板橋區,房地(土地+建物),永豐街55巷27弄1~30號,13.51,都市：其他:住宅區,,,1091225,土地6建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721231,47.82,2,2,1,有,無,6800000,142200,,0.0,0,其他增建;,RPQQMLMKJHGGFAF27DA,44.12,3.7,0.0,無,0001
板橋區,土地,板翠段61~90地號,54.78,都市：其他:第二種住宅區,,,1100113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18000000,328587,,0.0,0,,RPURMLNKJHGGFAF87DA,0.0,0.0,0.0,無,0002
土城區,房地(土地+建物),立雲街5巷1~30號,10.18,都市：其他:第二種商業區,,,1100114,土地1建物1車位0,一層，騎樓,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0860904,95.03,0,0,0,無,有,15200000,159949,,0.0,0,,RPPNMLOKJHGGFAF07DA,80.73,7.86,0.0,有,0003
板橋區,房地(土地+建物),民權路202巷9弄1~30號,40.25,都市：其他:住宅區,,,1091224,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630814,116.19,4,2,2,有,無,22250000,191497,,0.0,0,其他增建;,RPXPMLPKJHGGFAF18DA,103.54,12.65,0.0,無,0004
板橋區,房地(土地+建物),四川路一段61~90號,3.4,都市：其他:商業區,,,1100107,土地1建物1車位0,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030116,52.879999999999995,0,0,0,無,無,9170000,173411,,0.0,0,含裝潢費600000元;,RPSPMLTKJHGGFAF08DA,26.96,1.04,4.43,有,
板橋區,房地(土地+建物),四川路一段61~90號,3.4,都市：其他:商業區,,,1100107,土地1建物1車位0,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030116,52.879999999999995,0,0,0,無,無,8570000,162065,,0.0,0,,RPVPMLTKJHGGFAF38DA,26.96,1.04,4.43,有,
板橋區,房地(土地+建物),民生路三段301~330號,1.67,都市：其他:住宅區,,,1091222,土地1建物1車位0,二十六層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950914,50.2,1,1,1,有,有,7560000,150598,,0.0,0,陽台外推;夾層;其他增建;,RPUPMLKLJHGGFAF47DA,33.82,0.0,2.81,有,0005
土城區,房地(土地+建物),學府路一段151~180號,29.01,都市：其他:第二種住宅區,,,1100103,土地1建物1車位0,五層，見使用執照,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780504,157.87,2,3,2,有,有,14150000,89631,,0.0,0,陽台外推;頂樓加蓋;其他增建;,RPQRMLLLJHGGFAF37DA,125.61,0.2,12.65,無,0006
