"鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局-房","建物現況格局-廳","建物現況格局-衛","建物現況格局-隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積(平方公尺)","車位總價元","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","移轉編號"
"萬華區","房地(土地+建物)+車位","和平西路三段61~90號","11.59","都市：其他:交通用地(公共設施用地)(依都市計畫說明書圖規定辦理)。79/5/22","","","1091211","土地4建物1車位1","八層","13","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1000315","110.23","2","1","1","有","有","4250000","38556","坡道平面","0.0","0","親友、員工、共有人或其他特殊關係間之交易;","RPPNMLSLJHGGFBA17DA","61.82","0.0","7.74","有",""
"內湖區","房地(土地+建物)","內湖路三段72巷61~90號","17.43","都市：其他:第三種住宅區。","","","1091219","土地1建物1車位0","九層","20","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0830729","81.9","2","2","1","有","有","14500000","177045","","0.0","0","親友、員工、共有人或其他特殊關係間之交易;陽台外推;","RPUNMLLJJHGGFCA86DA","63.52","2.16","7.04","有","6.0"
"中山區","房地(土地+建物)+車位","伊通街1~30號","26.6","都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。","","","1091220","土地2建物2車位1","三層","13","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1020509","198.51999999999998","3","2","2","有","有","41000000","206528","坡道平面","49.59","0","","RPTPMLPJJHGGFCA37DA","81.02","12.51","12.97","有",""
"信義區","房地(土地+建物)","信義路五段150巷481~510號","23.3","都市：其他:第二種住宅區。","","","1100118","土地1建物1車位0","九層","16","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0851209","113.86","2","2","2","有","有","17000000","149306","","0.0","0","陽台外推;","RPPOMLSKJHGGFDA37DA","64.28","2.53","9.33","有","10.0"
"北投區","房地(土地+建物)+車位","磺港路121~150號","31.93","都市：其他:第三種住宅區。","","","1091203","土地1建物1車位2","十六層","18","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1080725","295.11","3","2","2","有","有","50250000","206838","坡道平面","76.34","5000000","","RPPNMLQKJHGGFEA17DA","127.98","4.03","10.55","有",""
"北投區","房地(土地+建物)+車位","磺港路121~150號","33.46","都市：其他:第三種住宅區。","","","1070521","土地1建物1車位2","九層","14","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1030619","262.52","3","2","2","有","有","35690000","155078","坡道平面","64.62","5000000","","RPQPMLRLJHGGFEA67DA","150.14","12.34","11.23","有","17.0"
"北投區","房地(土地+建物)+車位","磺港路121~150號","33.21","都市：其他:第三種住宅區。","","","1070521","土地1建物1車位1","九層","14","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1030619","227.81","3","2","2","有","有","33310000","155677","坡道平面","29.9","2500000","","RPRPMLRLJHGGFEA77DA","150.14","12.34","11.23","有","18.0"
"大安區","房地(土地+建物)","復興南路二段31~60號","9.27","都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。","","","1091218","土地1建物2車位0","四層","15","住宅大樓(11層含以上有電梯)","住家用","鋼骨鋼筋混凝土造","1090803","109.11000000000001","2","2","2","有","有","36000000","329942","","0.0","0","陽台外推;","RPXNMLRLJHGGFFA28DA","56.98","3.57","6.68","有","23.0"
"大同區","房地(土地+建物)","雙連街61~90號","13.67","都市：其他:第四種住宅區。","","","1100109","土地1建物1車位0","八層","15","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1060726","132.62","3","2","2","有","有","38000000","286533","","0.0","0","","RPUNMLRLJHGGFBA67EA","82.57","1.98","8.09","有",""
"萬華區","房地(土地+建物)+車位","環河南路一段91~120號","31.66","都市：其他:第四種住宅區。","","","1091222","土地1建物1車位1","二十一層","23","住宅大樓(11層含以上有電梯)","住家用","鋼骨鋼筋混凝土造","1031107","229.74","3","2","2","有","有","40500000","176286","坡道平面","0.0","2500000","","RPTOMLSLJHGGFBA77EA","101.08","18.61","12.82","有","26.0"
"信義區","房地(土地+建物)","信義路五段121~150號","6.56","都市：其他:特定業務區(信義計畫特定專用區)。","","","1091230","土地1建物1車位0","三層","19","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項","0951229","40.28","1","1","1","有","有","11400000","283019","","0.0","0","","RPUPMLTLJHGGFDA28EA","21.9","1.47","2.97","有",""
"士林區","房地(土地+建物)+車位","社正路1~30號","15.2","都市：其他:第一種商業區。","","","1091226","土地1建物1車位1","五層","13","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1090702","106.16999999999999","2","2","1","有","有","6600000","65610","升降機械","14.72","600000","親友、員工、共有人或其他特殊關係間之交易;","RPUOMLSLJHGGFEA18EA","53.37","5.1","3.9","有",""
