鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物)+車位,宏昌十二街31~60號,28.1,都市：其他:第二種住宅區,,,1091226,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871121,163.52,4,2,2,有,有,8100000,49535,坡道平面,0.0,0,陽台外推;,RPTPMLSLKIPFFAH76DA,91.92,0.0,9.98,有,
桃園區,房地(土地+建物)+車位,民有十二街1~30號,28.3,都市：其他:住宅區,,,1091129,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030520,176.18,3,2,2,有,有,10200000,57895,坡道平面,46.29,0,,RPPOMLSJJHGGFAH67DA,79.63,0.0,8.7,有,0001
桃園區,房地(土地+建物),玉山街31~60號,82.0,都市：其他:乙種工業區,,,1100106,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0780325,291.36,0,0,0,無,無,17000000,58347,,0.0,0,其他增建:ㄧ樓空地騎樓增建其他增建;,RPSOMLMKJHGGFAH47DA,277.37,0.0,13.99,無,
桃園區,房地(土地+建物)+車位,民有五街121~150號,17.24,都市：其他:住宅區,,,1091221,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931231,173.28,3,2,2,有,有,10900000,62904,坡道平面,0.0,0,,RPXOMLMKJHGGFAH97DA,90.19,1.91,12.91,有,
桃園區,房地(土地+建物)+車位,同安街631~660號,15.4,都市：其他:住宅區,,,1100116,土地1建物1車位1,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880501,161.67000000000002,4,2,2,有,有,10500000,64947,坡道平面,0.0,1800000,陽台外推;其他增建;,RPPOMLQKJHGGFAH57DA,86.47,2.11,9.73,有,0002
桃園區,房地(土地+建物),雙路151~180號,20.1,都市：其他:住宅區,,,1100102,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811110,88.76,2,1,1,有,有,4970000,55994,,0.0,0,,RPXSMLNKJHGGFAH48DA,65.92,0.0,7.26,有,
桃園區,土地,三元段961~990地號,122.04,都市：其他:農業區,,,1091126,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9232500,75651,,0.0,0,,RPOTMLOKJHGGFAH77DA,0.0,0.0,0.0,無,0003
桃園區,土地,小檜溪段1~30地號,53.58,都市：其他:河川區,,,1100119,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1135000,21183,,0.0,0,包含公共設施保留地用地;,RPQNMLTKJHGGFAH87DA,0.0,0.0,0.0,無,0004
桃園區,房地(土地+建物),泰昌三街151~180號,13.85,都市：其他:第二種住宅區,,,1091226,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870909,90.53999999999999,3,2,2,有,有,5600000,61851,,0.0,0,,RPPPMLTKJHGGFAH97DA,59.73,0.0,10.65,有,
